time,temp_min_daily,temp_max_daily,temp_mean_daily,temp_grass_mean_daily,temp_soil_min_daily,temp_soil_max_daily,temp_soil_mean_daily,humidity_daily,wind_direction_daily,wind_speed_daily,wind_gust_max_daily,precip_total_daily,precip_duration_daily,radiation_global_daily,sunshine_duration_daily,KarupBro,day_sin,day_cos
2010-07-17,11.5,21.9,17.404166666666665,17.633333333333333,18.3,20.6,19.3375,83.79166666666667,235.625,2.466666666666667,11.4,4.2,33.0,4959.0,309.5,370.37,-0.2636654927280072,-0.9646141756912435
2010-07-18,9.9,20.3,15.295833333333334,14.929166666666667,16.6,19.0,17.829166666666666,78.70833333333333,247.58333333333331,3.0375,9.0,0.1,1.0,5706.0,541.0,352.32,-0.2802306751992161,-0.9599326896597445
2010-07-19,10.7,23.6,17.769565217391303,17.621739130434783,16.3,19.7,17.860869565217392,76.54166666666667,219.375,2.7458333333333336,8.4,0.0,0.0,5031.0,315.0,323.25,-0.2967128192734901,-0.9549667548552553
2010-07-20,11.6,27.5,20.79583333333333,20.258333333333333,16.6,20.9,18.808333333333334,70.125,126.875,2.1333333333333333,9.1,0.0,0.0,6656.0,725.5,309.19,-0.3131070409358267,-0.9497178427914317
2010-07-21,16.9,27.4,22.375,22.17083333333333,17.8,21.4,19.604166666666668,74.58333333333333,151.0,2.8625000000000003,8.4,0.0,0.0,6179.0,601.5,297.6,-0.3294084822245302,-0.9441875088341994
2010-07-22,16.5,24.0,19.14583333333333,19.183333333333334,18.9,20.7,19.79583333333333,86.54166666666667,239.5,2.441666666666667,8.9,9.4,45.0,4253.0,225.0,294.87,-0.3456123126707333,-0.9383773917408642
2010-07-23,11.7,23.3,17.3125,17.616666666666667,17.5,20.4,19.0,79.75,246.75,1.5083333333333335,9.1,2.5,19.0,5242.0,393.0,355.63,-0.3617137307297674,-0.9322892131745134
2010-07-24,12.9,22.5,17.020833333333332,16.883333333333333,17.5,19.9,18.620833333333334,81.16666666666667,267.1666666666667,2.145833333333333,7.3,0.0,0.0,4733.0,301.0,407.98,-0.37770796520396466,-0.9259247771938499
2010-07-25,10.3,21.8,16.258333333333333,16.0625,16.8,19.6,18.029166666666665,79.125,308.3333333333333,2.9333333333333336,9.6,2.1,30.0,5151.0,359.0,338.11,-0.39359027665646645,-0.9192859697186105
2010-07-26,7.7,22.6,15.9125,15.8875,15.3,19.7,17.629166666666666,83.625,239.5,1.6125,6.9,1.7000000000000002,32.0,5699.0,462.5,302.82,-0.4093559588156211,-0.9123747579707274
2010-07-27,9.8,23.5,16.695833333333333,16.883333333333333,16.3,20.3,18.1875,75.79166666666667,265.8333333333333,1.9708333333333332,6.9,0.0,0.0,7038.0,781.0,284.02,-0.42500033996955394,-0.9051931898913975
2010-07-28,9.6,19.4,15.770833333333334,15.525,16.2,18.4,17.5125,93.91666666666669,149.625,1.5,5.8,11.7,114.0,2461.0,7.5,269.29,-0.4405187843504952,-0.8977433935342336
2010-07-29,14.0,22.0,16.679166666666667,16.820833333333333,16.6,18.9,17.691666666666666,89.79166666666667,290.0416666666667,3.670833333333333,10.4,7.4,85.0,3943.0,161.5,454.3,-0.455906693508459,-0.8900275764346766
2010-07-30,13.1,16.5,14.579166666666666,14.279166666666669,16.2,17.8,16.795833333333334,95.5,248.04166666666663,5.7625,13.7,10.9,123.0,1529.0,17.5,492.78,-0.47115950767386394,-0.8820480249558535
2010-07-31,11.5,21.5,16.554166666666667,16.308333333333334,15.5,17.6,16.591666666666665,87.25,206.83333333333331,3.858333333333333,10.0,2.1,25.0,3231.0,118.5,483.55,-0.4862727071086902,-0.8738071036110807
2010-08-01,13.9,20.0,16.604166666666668,16.804166666666667,16.4,18.3,17.379166666666666,89.20833333333333,201.5,0.9791666666666666,5.8,6.2,65.0,3609.0,203.0,498.31,-0.5012418134457756,-0.8653072543632061
2010-08-02,10.9,20.4,15.891666666666666,15.695833333333333,16.0,18.3,17.254166666666666,88.70833333333333,262.9583333333333,1.4958333333333331,6.0,0.3,4.0,3716.0,281.5,445.45,-0.5160623910158526,-0.8565509959010037
2010-08-03,9.1,20.0,14.554166666666667,14.3125,15.4,18.0,16.641666666666666,79.625,280.0416666666667,2.1083333333333334,6.9,0.0,0.0,5030.0,433.0,374.87,-0.5307300481619331,-0.8475409228928312
2010-08-04,7.3,17.5,13.770833333333334,13.3125,14.6,17.0,15.920833333333334,95.66666666666669,130.75,1.425,10.6,10.2,91.0,2171.0,107.0,363.52,-0.5452404385406507,-0.8382797052177745
2010-08-05,12.3,21.0,16.383333333333333,15.9375,15.3,18.4,16.858333333333334,87.375,173.58333333333334,2.3041666666666667,8.0,0.2,5.0,4040.0,202.5,636.77,-0.5595892624101763,-0.828770087174504
2010-08-06,11.1,22.5,16.2375,15.983333333333334,15.4,19.1,17.224999999999998,81.54166666666667,191.83333333333331,1.2041666666666666,5.4,0.0,0.0,4413.0,285.5,487.57,-0.5737722679043243,-0.8190148866680802
2010-08-07,8.5,24.9,17.787499999999998,17.970833333333335,15.4,20.5,17.9875,70.04166666666667,176.625,1.2958333333333334,6.4,0.0,0.0,6644.0,685.0,379.47,-0.5877852522924734,-0.8090169943749472
2010-08-08,14.7,20.5,17.570833333333333,17.433333333333334,17.5,19.0,18.35,88.33333333333333,283.3333333333333,1.6041666666666667,5.2,2.5,39.0,1912.0,0.0,336.98,-0.6016240632249227,-0.7987793728863648
2010-08-09,10.9,18.6,15.204166666666666,14.775,16.5,18.1,17.408333333333335,82.83333333333333,267.25,2.8833333333333333,9.0,1.4,24.0,2473.0,47.0,350.55,-0.6152845999633277,-0.7883050558305253
2010-08-10,8.7,23.3,17.5625,16.895833333333332,14.8,19.1,16.9875,73.79166666666667,147.75,3.25,9.7,0.0,0.0,5532.0,537.0,326.09,-0.6287628145958345,-0.7775971469736268
2010-08-11,10.9,19.2,16.191666666666666,16.020833333333332,17.1,18.8,17.837500000000002,95.875,188.45833333333331,1.7583333333333335,9.8,15.2,133.0,2251.0,100.5,466.0,-0.6420547132365636,-0.7666588193001592
2010-08-12,8.1,18.8,14.045833333333334,13.783333333333331,15.4,17.7,16.733333333333334,93.08333333333331,63.79166666666666,1.5125,5.9,2.2,30.0,2891.0,183.5,555.66,-0.655156357209085,-0.7554933140726804
2010-08-13,12.3,22.5,17.404166666666665,17.458333333333332,16.3,19.5,17.75,80.125,258.125,2.0375,6.6,0.0,0.0,4374.0,298.5,495.82,-0.6680638642135333,-0.7441039398713608
2010-08-14,11.6,20.8,16.724999999999998,16.245833333333334,16.5,18.2,17.3625,85.66666666666667,259.2916666666667,2.3875,7.4,1.9,22.0,2171.0,4.0,431.66,-0.6807734094770159,-0.7324940716135792
2010-08-15,14.5,25.1,19.570833333333333,19.64583333333333,16.4,19.8,18.070833333333333,83.83333333333333,165.70833333333334,2.704166666666667,8.0,0.3,3.0,4498.0,378.5,409.93,-0.6932812268869771,-0.7206671495538615
2010-08-16,14.8,20.9,19.15,18.65,18.1,19.0,18.5875,96.0,69.04166666666667,2.716666666666667,10.2,3.2,26.0,1346.0,1.0,421.09,-0.7055836101071774,-0.7086266782644601
2010-08-17,13.4,17.6,15.925,15.591666666666669,16.9,18.2,17.4125,99.75,247.29166666666663,2.9250000000000003,11.5,34.0,267.0,819.0,0.0,596.14,-0.7176769136759615,-0.6963762255968726
2010-08-18,13.4,16.0,15.104166666666666,14.704166666666666,15.8,17.0,16.349999999999998,98.04166666666669,202.875,5.216666666666667,12.9,51.5,419.0,525.0,22.0,3181.69,-0.7295575540864876,-0.6839194216246105
2010-08-19,12.0,21.2,15.875,15.545833333333333,15.0,17.5,16.208333333333332,77.25,242.95833333333331,4.354166666666667,13.0,0.1,2.0,5169.0,508.0,4280.93,-0.7412220108485957,-0.6712599575675315
2010-08-20,9.0,21.3,15.9,14.804166666666667,14.5,16.7,15.808333333333332,86.625,194.75,2.5375,10.0,2.5,20.0,2840.0,198.5,3741.23,-0.7526668275320083,-0.6584015846980489
2010-08-21,15.5,22.0,18.695833333333333,18.3,15.8,17.8,16.858333333333334,93.33333333333331,222.20833333333331,4.2,12.8,0.8,16.0,2323.0,16.0,3111.35,-0.7638886127905429,-0.64534811322955
2010-08-22,11.6,22.2,17.791666666666668,17.704166666666666,17.2,19.0,17.870833333333334,84.70833333333333,260.25,3.095833333333333,8.8,23.3,86.0,4389.0,381.5,3381.3,-0.7748840413670406,-0.6321034111873488
2010-08-23,8.4,18.5,14.475,13.966666666666669,15.5,17.4,16.341666666666665,93.625,136.5,4.270833333333333,19.0,12.8,125.0,2142.0,165.0,2960.69,-0.7856498550787144,-0.6186714032625032
2010-08-24,11.9,18.6,15.041666666666666,14.725,15.3,16.4,15.933333333333332,81.08333333333333,236.25,7.449999999999999,18.4,0.6000000000000001,9.0,3844.0,312.0,3480.87,-0.7961828637826154,-0.6050560696488494
2010-08-25,11.0,18.1,13.954166666666666,13.6625,14.5,15.9,15.166666666666666,74.45833333333333,266.75,6.470833333333334,19.2,0.1,2.0,4279.0,313.5,2805.06,-0.8064799463209447,-0.5912614448635782
2010-08-26,7.2,19.3,12.91304347826087,12.265217391304349,13.6,16.3,14.830434782608696,73.21739130434783,272.0869565217391,2.6043478260869564,8.8,0.0,0.0,4680.0,531.5,2264.3,-0.8165380514459157,-0.5772916165517278
2010-08-27,5.3,18.9,11.731818181818182,11.086363636363636,13.0,16.2,14.604545454545455,79.95454545454545,188.4090909090909,1.2363636363636363,4.1,0.2,3.0,4155.0,411.0,1863.3,-0.8263541987239095,-0.5631507242749187
2010-08-28,6.7,17.4,12.725,12.070833333333333,13.7,15.8,14.6875,79.29166666666667,290.7083333333333,2.720833333333333,10.7,0.2,2.0,4790.0,533.0,1712.38,-0.8359254794186365,-0.5488429582847199
2010-08-29,5.5,17.2,11.7625,11.479166666666666,12.7,15.3,14.083333333333334,82.625,151.375,1.725,7.9,0.5,8.0,4197.0,288.0,1409.26,-0.8452490573530634,-0.5343725582809785
2010-08-30,9.5,17.7,13.7,13.216666666666669,13.8,15.5,14.6,76.08333333333333,79.125,3.633333333333333,10.7,0.6,5.0,4815.0,559.0,1271.84,-0.8543221697498269,-0.5197438121555157
2010-08-31,5.4,17.7,12.356521739130434,11.826086956521738,12.7,14.9,13.995652173913042,84.0,281.1304347826087,2.034782608695652,8.8,0.0,0.0,3493.0,355.5,1070.35,-0.8631421280499115,-0.5049610547215202
2010-09-01,9.0,19.0,13.870833333333332,12.841666666666669,13.3,15.3,14.383333333333333,82.45833333333333,230.66666666666663,1.6541666666666668,7.9,0.0,0.0,3299.0,260.5,941.41,-0.8717063187093218,-0.4900286664290594
2010-09-02,5.1,19.3,13.1,11.9,13.1,15.4,14.183333333333332,73.58333333333333,46.29166666666666,1.0708333333333333,7.3,0.0,0.0,4607.0,453.0,838.73,-0.8800122039735356,-0.4749510720670502
2010-09-03,3.8,18.5,10.8625,9.979166666666666,11.9,14.4,13.254166666666668,80.125,142.70833333333334,0.8250000000000001,8.1,0.1,1.0,3613.0,320.0,734.98,-0.888057322629493,-0.4597327394521046
2010-09-04,5.0,17.0,11.179166666666667,9.395833333333334,11.8,14.1,12.954166666666666,74.04166666666667,43.41666666666666,1.1291666666666669,8.4,0.0,0.0,4805.0,609.0,684.12,-0.8958392907349089,-0.44437817810461344
2010-09-05,2.1,18.7,10.6,9.2375,10.8,13.8,12.3875,71.75,45.75,0.3916666666666666,4.8,0.0,0.0,4946.0,657.0,621.99,-0.9033558023246842,-0.4288919379124841
