time,temp_min_daily,temp_max_daily,temp_mean_daily,temp_grass_mean_daily,temp_soil_min_daily,temp_soil_max_daily,temp_soil_mean_daily,humidity_daily,wind_direction_daily,wind_gust_max_daily,wind_speed_daily,precip_total_daily,precip_duration_daily,radiation_global_daily,sunshine_duration_daily,KarupBro,ET0
2004-09-22,8.2,14.0,10.691666666666668,10.325,11.8,13.0,12.375,85.58333333333333,278.5,15.0,5.216666666666667,10.9,63.0,2440.0,281.5,1101.38,272.0482670154659
2004-09-23,8.4,14.8,10.875,10.554166666666667,11.3,12.8,12.016666666666666,85.41666666666667,282.9583333333333,10.7,3.820833333333333,3.5,47.0,2751.0,310.5,1214.22,342.2031551894743
2004-09-24,8.5,16.4,12.025,11.308333333333332,11.0,13.0,11.916666666666666,82.75,293.2916666666667,9.7,3.0083333333333333,0.3,3.0,2428.0,302.0,902.12,335.0186829255066
2004-09-25,8.5,13.6,10.6375,10.3,11.1,12.2,11.691666666666668,86.5,274.6666666666667,11.8,3.7125,0.4,4.0,1881.0,193.0,707.59,234.11308260257098
2004-09-26,8.5,15.3,12.354166666666666,12.083333333333334,11.3,12.8,12.125,84.91666666666667,268.0,10.6,3.733333333333333,1.3,14.0,2241.0,213.5,615.68,295.39796201875816
2004-09-27,10.6,13.9,12.445833333333333,12.120833333333332,12.1,13.1,12.575,81.25,274.3333333333333,14.5,5.625,1.5,17.0,1975.0,116.0,562.56,228.9347447620006
2004-09-28,9.8,14.4,11.6125,11.425,11.6,13.1,12.295833333333334,80.625,222.83333333333331,8.0,2.7416666666666667,0.6000000000000001,7.0,1895.0,97.5,510.14,263.84822182977763
2004-09-29,8.1,15.0,11.020833333333334,10.4875,11.1,13.2,12.179166666666667,79.66666666666667,113.79166666666669,6.7,1.5916666666666668,0.2,4.0,3120.0,457.0,496.4,471.48621169432556
2004-09-30,3.5,14.8,9.741666666666667,8.391666666666667,9.7,12.6,11.0375,80.41666666666667,165.66666666666666,7.1,1.4625,0.0,0.0,3680.0,607.5,455.43,541.1383547753231
2004-10-01,2.0,13.2,8.170833333333333,7.541666666666667,8.8,11.3,10.045833333333333,88.33333333333333,111.83333333333331,8.6,2.1875,4.2,42.0,2582.0,403.0,438.76,335.86541522157114
